taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,iucn_has_ranges,iucn_has_points,category_iucn,lon,lat,centroid_source,centroid_rank,centroid_count,range_component_count,range_cluster_count,range_cluster_component_count,range_cluster_buffer_km,range_cluster_area_share,spatial_presence,spatial_presence_label,spatial_seasonal,spatial_seasonal_label,spatial_lookup_taxonid,spatial_lookup_source,computed_range_area_km2,computed_range_component_area_km2,range_component_area_km2,observation_point_count,source_paths,spatial_citation,spatial_year,iucn_dataset_citation,iucn_data_last_updated,spatial_credit
11933,45198780,2015-04-20T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/11933/45198780,"Taylor, M.E., Greengrass, E.J., Dunham, A. & Do Linh San, E. 2016. Liberiictis kuhni. The IUCN Red List of Threatened Species 2016: e.T11933A45198780. Accessed on 24 June 2026.",Liberiictis kuhni,Liberian Mongoose,VU,Decreasing,5200,,,species,,[],MAMMALIA,MAMMALS,VU,Mammals,True,False,VU,-8.162468808706688,6.076943082481453,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,11933,self,74328.36198259689,74328.36198259689,74328.36198259689,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2016,,,IUCN (International Union for Conservation of Nature) 2016. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .
11979,97189690,2014-08-22T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/11979/97189690,"Stephenson, P.J., Soarimalala, V. & Goodman, S. 2016. Microgale mergulus. The IUCN Red List of Threatened Species 2016: e.T11979A97189690. Accessed on 24 June 2026.",Microgale mergulus,Web-footed Tenrec,VU,Decreasing,,2000,,species,,[],MAMMALIA,MAMMALS,VU,Mammals,True,False,VU,47.568699495132556,-19.979382523228054,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,11979,self,56451.05616382449,56451.05616382449,56451.05616382449,,MAMMALS_PART2.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .
12077,22225458,2016-07-11T01:00:00.000+01:00,2018,https://www.iucnredlist.org/species/12077/22225458,"Álvarez-Castañeda, S.T. & Vázquez, E. 2018. Heteromys spectabilis. The IUCN Red List of Threatened Species 2018: e.T12077A22225458. Accessed on 24 June 2026.",Heteromys spectabilis,Jaliscan Spiny Pocket Mouse,EN,Decreasing,,,4903.146,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,-103.0291848673575,19.309659191385048,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,12077,self,4839.674608471394,4839.674608471394,4839.674608471394,,MAMMALS_PART1.shp,IUCN SSC Small Mammal Specialist Group,2017,,,IUCN SSC Small Mammal Specialist Group 2017. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .
12119,50362206,2017-08-20T01:00:00.000+01:00,2017,https://www.iucnredlist.org/species/12119/50362206,"Smith, B.D., Wang, D., Braulik, G.T., Reeves, R., Zhou, K., Barlow, J. & Pitman, R.L. 2017. Lipotes vexillifer. The IUCN Red List of Threatened Species 2017: e.T12119A50362206. Accessed on 24 June 2026.",Lipotes vexillifer,Baiji,CR,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,CR,Mammals,True,False,CR,111.79609026919286,30.31161820030733,range_polygon,1,1,1,1,1,200,1.0,4,Possibly Extinct,1,Resident,12119,self,26195.622713060926,26195.622713060926,26195.622713060926,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .
12142,50190292,2016-04-20T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/12142/50190292,IUCN SSC Antelope Specialist Group 2016. Litocranius walleri. The IUCN Red List of Threatened Species 2016: e.T12142A50190292. Accessed on 24 June 2026.,Litocranius walleri,Gerenuk,NT,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,NT,Mammals,True,False,NT,42.62377226374392,4.5225540984706925,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,12142,self,1418346.6675161163,1418346.6675161163,1418346.6675161163,,MAMMALS_PART2.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .
12263,22038287,2016-07-01T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/12263/22038287,"Aguiar, L. 2016. Lonchophylla bokermanni. The IUCN Red List of Threatened Species 2016: e.T12263A22038287. Accessed on 24 June 2026.",Lonchophylla bokermanni,Bokermann's Nectar Bat,EN,Unknown,,,1506,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,-43.25380253183965,-19.67818059684044,range_polygon,1,1,3,1,3,200,1.0,1,Extant,1,Resident,12263,self,845.2512039919479,845.2512039919479,845.2512039919479,,MAMMALS_PART2.shp,IUCN (International Union for Conservation of Nature),2016,,,IUCN (International Union for Conservation of Nature) 2016. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .
12264,22038149,2016-05-18T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/12264/22038149,"Aguiar, L. & Bernard, E. 2016. Lonchophylla dekeyseri. The IUCN Red List of Threatened Species 2016: e.T12264A22038149. Accessed on 24 June 2026.",Lonchophylla dekeyseri,Dekeyser's Nectar Bat,EN,Decreasing,600,,28618,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,-47.400985073256635,-14.566123142739812,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,12264,self,28618.218867960888,28618.218867960888,28618.218867960888,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .
12266,22038705,2015-07-20T01:00:00.000+01:00,2015,https://www.iucnredlist.org/species/12266/22038705,"Solari, S. & Velazco, P. 2015. Lonchophylla hesperia. The IUCN Red List of Threatened Species 2015: e.T12266A22038705. Accessed on 24 June 2026.",Lonchophylla hesperia,Western Nectar Bat,NT,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,NT,Mammals,True,False,NT,-77.50201398532337,-7.678785496237933,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,12266,self,275069.5012895899,275069.5012895899,275069.5012895899,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .
12267,22038521,2016-08-11T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/12267/22038521,"Sampaio, E., Lim, B. & Peters, S. 2016. Lonchophylla mordax. The IUCN Red List of Threatened Species 2016: e.T12267A22038521. Accessed on 24 June 2026.",Lonchophylla mordax,Goldman's Nectar Bat,NT,Unknown,,,30135,species,,[],MAMMALIA,MAMMALS,NT,Mammals,True,False,NT,-37.48601836725897,-10.639528223528187,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,12267,self,20492.03918737712,20492.03918737712,20492.03918737712,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2016,,,IUCN (International Union for Conservation of Nature) 2016. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .
12271,22039142,2016-05-16T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/12271/22039142,"Solari, S. 2016. Lonchorhina fernandezi. The IUCN Red List of Threatened Species 2016: e.T12271A22039142. Accessed on 24 June 2026.",Lonchorhina fernandezi,Fernandez's Sword-nosed Bat,EN,Decreasing,150,,105608,species,,[],MAMMALIA,MAMMALS,EN,Mammals,True,False,EN,-66.2392639635856,4.753306454845154,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,12271,self,104951.39035955613,104951.39035955613,104951.39035955613,,MAMMALS_PART1.shp,IUCN (International Union for Conservation of Nature),2008,,,IUCN (International Union for Conservation of Nature) 2008. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on .
