taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
59710,11985947,2006-02-28T00:00:00.000+00:00,2010,https://www.iucnredlist.org/species/59710/11985947,"Clausnitzer, V. 2010. Crenigomphus abyssinicus. The IUCN Red List of Threatened Species 2010: e.T59710A11985947. Accessed on 29 June 2026.",Crenigomphus abyssinicus,Ethiopian Talontail,VU,Unknown,,,,species,,[],INSECTA,FW_ODONATA,VU,"Insects, other invertebrates (not comprehensive)",59710,self,True,False,VU
59711,11987071,2006-02-28T00:00:00.000+00:00,2010,https://www.iucnredlist.org/species/59711/11987071,"Clausnitzer, V. 2010. Crenigomphus denticulatus. The IUCN Red List of Threatened Species 2010: e.T59711A11987071. Accessed on 29 June 2026.",Crenigomphus denticulatus,,VU,Unknown,,,,species,,[],INSECTA,FW_ODONATA,VU,"Insects, other invertebrates (not comprehensive)",59711,self,True,False,VU
59715,11993042,2006-02-28T00:00:00.000+00:00,2010,https://www.iucnredlist.org/species/59715/11993042,"Clausnitzer, V. 2010. Elattoneura pasquinii. The IUCN Red List of Threatened Species 2010: e.T59715A11993042. Accessed on 29 June 2026.",Elattoneura pasquinii,,VU,Unknown,,,,species,,[],INSECTA,FW_ODONATA,VU,"Insects, other invertebrates (not comprehensive)",59715,self,True,False,VU
59721,170705929,2020-04-09T01:00:00.000+01:00,2021,https://www.iucnredlist.org/species/59721/170705929,"Bedjanič, M., Dow, R.A. & Sumanapala, A.P. 2021. Ceylonosticta adami. The IUCN Red List of Threatened Species 2021: e.T59721A170705929. Accessed on 29 June 2026.",Ceylonosticta adami,Adam’s Shadowdamsel,EN,Decreasing,,48-100,363-1202,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",59721,self,True,True,EN
59722,170706075,2020-05-02T01:00:00.000+01:00,2021,https://www.iucnredlist.org/species/59722/170706075,"Bedjanič, M., Dow, R.A. & Sumanapala, A.P. 2021. Ceylonosticta austeni. The IUCN Red List of Threatened Species 2021: e.T59722A170706075. Accessed on 29 June 2026.",Ceylonosticta austeni,Austin’s Shadowdamsel,EN,Decreasing,,180-500,3010-5816,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",59722,self,True,True,EN
59723,170706259,2020-05-03T01:00:00.000+01:00,2021,https://www.iucnredlist.org/species/59723/170706259,"Bedjanič, M., Dow, R.A. & Sumanapala, A.P. 2021. Ceylonosticta hilaris. The IUCN Red List of Threatened Species 2021: e.T59723A170706259. Accessed on 29 June 2026.",Ceylonosticta hilaris,Merry Shadowdamsel,EN,Decreasing,,96-500,1987-5331,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",59723,self,True,True,EN
59724,170706528,2020-06-11T01:00:00.000+01:00,2021,https://www.iucnredlist.org/species/59724/170706528,"Bedjanič, M., Dow, R.A. & Sumanapala, A.P. 2021. Ceylonosticta montana. The IUCN Red List of Threatened Species 2021: e.T59724A170706528. Accessed on 29 June 2026.",Ceylonosticta montana,Dark Knob-tipped Shadowdamsel,EN,Decreasing,,68-500,1101-2317,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",59724,self,True,True,EN
59725,170706677,2020-07-30T01:00:00.000+01:00,2021,https://www.iucnredlist.org/species/59725/170706677,"Bedjanič, M., Dow, R.A. & Sumanapala, A.P. 2021. Ceylonosticta submontana. The IUCN Red List of Threatened Species 2021: e.T59725A170706677. Accessed on 29 June 2026.",Ceylonosticta submontana,Bordered Knob-tipped Shadowdamsel,EN,Decreasing,,68-500,386-1251,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",59725,self,True,True,EN
59726,170688280,2020-08-01T01:00:00.000+01:00,2021,https://www.iucnredlist.org/species/59726/170688280,"Bedjanič, M., Dow, R.A. & Sumanapala, A.P. 2021. Elattoneura leucostigma. The IUCN Red List of Threatened Species 2021: e.T59726A170688280. Accessed on 29 June 2026.",Elattoneura leucostigma,Smoky-winged Threadtail,EN,Decreasing,,124-500,600-2376,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",59726,self,True,True,EN
59728,208809246,2022-09-06T01:00:00.000+01:00,2023,https://www.iucnredlist.org/species/59728/208809246,"Prunier, F., Billqvist, M., De Knijf, G., van Grunsven, R.H.A. & Vinko, D. 2023. Gomphus graslinii. The IUCN Red List of Threatened Species 2023: e.T59728A208809246. Accessed on 29 June 2026.",Gomphus graslinii,Pronged Clubtail,NT,Decreasing,,5100,948565,species,,[],INSECTA,FW_ODONATA,NT,"Insects, other invertebrates (not comprehensive)",59728,self,True,False,NT
59730,170686766,2020-08-01T01:00:00.000+01:00,2021,https://www.iucnredlist.org/species/59730/170686766,"Bedjanič, M., Dow, R.A. & Sumanapala, A.P. 2021. Heliogomphus lyratus. The IUCN Red List of Threatened Species 2021: e.T59730A170686766. Accessed on 29 June 2026.",Heliogomphus lyratus,Lyrate Grappletail,EN,Decreasing,,100-500,4703-7452,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",59730,self,True,True,EN
59731,170686850,2020-08-01T01:00:00.000+01:00,2021,https://www.iucnredlist.org/species/59731/170686850,"Bedjanič, M., Dow, R.A. & Sumanapala, A.P. 2021. Heliogomphus nietneri. The IUCN Red List of Threatened Species 2021: e.T59731A170686850. Accessed on 29 June 2026.",Heliogomphus nietneri,Nietner’s Grappletail,EN,Decreasing,,28-500,2687-6692,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",59731,self,True,True,EN
59738,170688022,2020-08-02T01:00:00.000+01:00,2021,https://www.iucnredlist.org/species/59738/170688022,"Bedjanič, M., Dow, R.A. & Sumanapala, A.P. 2021. Macromia flinti. The IUCN Red List of Threatened Species 2021: e.T59738A170688022. Accessed on 29 June 2026.",Macromia flinti,Flint’s Cruiser,CR,Unknown,,0-4,,species,,[],INSECTA,FW_ODONATA,CR,"Insects, other invertebrates (not comprehensive)",59738,self,True,True,CR
59740,141752618,2019-01-16T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/59740/141752618,"Polhemus, D.A. 2020. Megalagrion molokaiense. The IUCN Red List of Threatened Species 2020: e.T59740A141752618. Accessed on 29 June 2026.",Megalagrion molokaiense,Molokai Damselfly,CR,Unknown,,,0-100,species,,[],INSECTA,FW_ODONATA,CR,"Insects, other invertebrates (not comprehensive)",59740,self,True,False,CR
59741,141752695,2019-01-16T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/59741/141752695,"Polhemus, D.A. 2020. Megalagrion nesiotes. The IUCN Red List of Threatened Species 2020: e.T59741A141752695. Accessed on 29 June 2026.",Megalagrion nesiotes,Flying Earwig Hawaiian Damselfly,CR,Decreasing,,4,4-100,species,,[],INSECTA,FW_ODONATA,CR,"Insects, other invertebrates (not comprehensive)",59741,self,True,False,CR
59743,12011180,2007-03-01T00:00:00.000+00:00,2009,https://www.iucnredlist.org/species/59743/12011180,"Paulson, D. R. 2009. Hypolestes clara. The IUCN Red List of Threatened Species 2009: e.T59743A12011180. Accessed on 29 June 2026.",Hypolestes clara,Jamaican Hypolestes,EN,Unknown,,1-499,1-2999,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",59743,self,True,False,EN
59748,176663660,2016-07-01T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/59748/176663660,"Schütte, K. & Clausnitzer, V. 2020. Nesocordulia villiersi (amended version of 2017 assessment). The IUCN Red List of Threatened Species 2020: e.T59748A176663660. Accessed on 29 June 2026.",Nesocordulia villiersi,,EN,Unknown,,,,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",59748,self,True,False,EN
59749,176732744,2016-06-30T01:00:00.000+01:00,2020,https://www.iucnredlist.org/species/59749/176732744,"Schütte, K. 2020. Nesolestes pauliani (amended version of 2017 assessment). The IUCN Red List of Threatened Species 2020: e.T59749A176732744. Accessed on 29 June 2026.",Nesolestes pauliani,,EN,Unknown,,,,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",59749,self,True,False,EN
59753,12012673,2007-04-01T01:00:00.000+01:00,2010,https://www.iucnredlist.org/species/59753/12012673,"Suhling, F. 2010. Paragomphus cataractae. The IUCN Red List of Threatened Species 2010: e.T59753A12012673. Accessed on 29 June 2026.",Paragomphus cataractae,Cataract Hooktail,NT,Unknown,,,0-20000,species,,[],INSECTA,FW_ODONATA,NT,"Insects, other invertebrates (not comprehensive)",59753,self,True,False,NT
59766,13355370,2012-02-19T00:00:00.000+00:00,2013,https://www.iucnredlist.org/species/59766/13355370,"Schneider, W., Samraoui, B. & Boudot, J.-P. 2013. Pseudagrion arabicum. The IUCN Red List of Threatened Species 2013: e.T59766A13355370. Accessed on 29 June 2026.",Pseudagrion arabicum,,EN,Unknown,,6-12,12800,species,,[],INSECTA,FW_ODONATA,EN,"Insects, other invertebrates (not comprehensive)",59766,self,True,False,EN
59768,12015834,2006-02-28T00:00:00.000+00:00,2010,https://www.iucnredlist.org/species/59768/12015834,"Clausnitzer, V. 2010. Pseudagrion guichardi. The IUCN Red List of Threatened Species 2010: e.T59768A12015834. Accessed on 29 June 2026.",Pseudagrion guichardi,,VU,Unknown,,,,species,,[],INSECTA,FW_ODONATA,VU,"Insects, other invertebrates (not comprehensive)",59768,self,True,False,VU
59770,12016276,2009-09-29T01:00:00.000+01:00,2009,https://www.iucnredlist.org/species/59770/12016276,"Villanueva, R.J.T. 2009. Risiocnemis seidenschwarzi. The IUCN Red List of Threatened Species 2009: e.T59770A12016276. Accessed on 29 June 2026.",Risiocnemis seidenschwarzi,,CR,Unknown,20-50,1,12,species,,[],INSECTA,FW_ODONATA,CR,"Insects, other invertebrates (not comprehensive)",59770,self,True,False,CR
