taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
2174,2778380,2018-03-13T00:00:00.000+00:00,2021,https://www.iucnredlist.org/species/2174/2778380,"Praschag, P., Das, I., Choudhury, B.C. & Singh, S. 2021. Nilssonia leithii. The IUCN Red List of Threatened Species 2021: e.T2174A2778380. Accessed on 21 June 2026.",Nilssonia leithii,Leith's Softshell Turtle,CR,Decreasing,,,,species,,[],REPTILIA,REPTILES,CR,"Other (Reptiles, Amphib., Crust.)",2174,self,True,False,CR
2184,96555878,2016-07-12T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/2184/96555878,"Jones, J.P.G., Rasamy, J., Ranaivoson, C.H., Cumberlidge, N. & Randrianasolo, H. 2016. Astacoides crosnieri. The IUCN Red List of Threatened Species 2016: e.T2184A96555878. Accessed on 21 June 2026.",Astacoides crosnieri,Oramalemy,VU,Decreasing,,,5200,species,,[],MALACOSTRACA,FW_CRAYFISH,VU,"Other (Reptiles, Amphib., Crust.)",2184,self,True,False,VU
2187,96555259,2016-07-12T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/2187/96555259,"Jones, J.P.G. 2016. Astacoides caldwelli. The IUCN Red List of Threatened Species 2016: e.T2187A96555259. Accessed on 21 June 2026.",Astacoides caldwelli,Oramena,VU,Decreasing,,,11930,species,,[],MALACOSTRACA,FW_CRAYFISH,VU,"Other (Reptiles, Amphib., Crust.)",2187,self,True,False,VU
2188,96555039,2016-07-11T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/2188/96555039,"Jones, J.P.G. 2016. Astacoides betsileoensis. The IUCN Red List of Threatened Species 2016: e.T2188A96555039. Accessed on 21 June 2026.",Astacoides betsileoensis,Oranjatsy,VU,Decreasing,,1040,8600,species,,[],MALACOSTRACA,FW_CRAYFISH,VU,"Other (Reptiles, Amphib., Crust.)",2188,self,True,False,VU
2190,9337732,2010-06-01T01:00:00.000+01:00,2010,https://www.iucnredlist.org/species/2190/9337732,"Walsh, T. & Doran, N. 2010. Astacopsis gouldi. The IUCN Red List of Threatened Species 2010: e.T2190A9337732. Accessed on 21 June 2026.",Astacopsis gouldi,Giant Freshwater Crayfish,EN,Decreasing,,,14221,species,,[],MALACOSTRACA,FW_CRAYFISH,EN,"Other (Reptiles, Amphib., Crust.)",2190,self,True,False,EN
2191,9338388,2010-06-08T01:00:00.000+01:00,2010,https://www.iucnredlist.org/species/2191/9338388,"Edsman, L., Füreder, L., Gherardi, F. & Souty-Grosset, C. 2010. Astacus astacus. The IUCN Red List of Threatened Species 2010: e.T2191A9338388. Accessed on 21 June 2026.",Astacus astacus,Noble Crayfish,VU,Decreasing,,,,species,,[],MALACOSTRACA,FW_CRAYFISH,VU,"Other (Reptiles, Amphib., Crust.)",2191,self,True,False,VU
2296,101421841,2017-09-13T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/2296/101421841,IUCN SSC Amphibian Specialist Group 2019. Atelognathus nitoi. The IUCN Red List of Threatened Species 2019: e.T2296A101421841. Accessed on 21 June 2026.,Atelognathus nitoi,Rio Negro Frog,VU,Stable,,,,species,,[],AMPHIBIA,AMPHIBIANS,VU,"Other (Reptiles, Amphib., Crust.)",2296,self,True,False,VU
2297,85301943,2016-02-04T00:00:00.000+00:00,2016,https://www.iucnredlist.org/species/2297/85301943,IUCN SSC Amphibian Specialist Group 2016. Atelognathus reverberii. The IUCN Red List of Threatened Species 2016: e.T2297A85301943. Accessed on 21 June 2026.,Atelognathus reverberii,Laguna Raimunda Frog,VU,Decreasing,,,8403.89,species,,[],AMPHIBIA,AMPHIBIANS,VU,"Other (Reptiles, Amphib., Crust.)",2297,self,True,False,VU
2430,9438817,2010-04-14T01:00:00.000+01:00,2010,https://www.iucnredlist.org/species/2430/9438817,"Füreder, L., Gherardi, F., Holdich, D., Reynolds, J., Sibley, P. & Souty-Grosset, C. 2010. Austropotamobius pallipes. The IUCN Red List of Threatened Species 2010: e.T2430A9438817. Accessed on 21 June 2026.",Austropotamobius pallipes,White-clawed Crayfish,EN,Decreasing,,,,species,,[],MALACOSTRACA,FW_CRAYFISH,EN,"Other (Reptiles, Amphib., Crust.)",2430,self,True,False,EN
2593,176084098,2011-03-03T00:00:00.000+00:00,2020,https://www.iucnredlist.org/species/2593/176084098,"Bauer, A., Srinivasulu, C., Srinivasulu, B., Roy, A.D., Murthy, B.H.C.K., Molur, S., Pal, S., Mohapatra, P., Agarwal, I. & Sondhi, S. 2020. Barkudia insularis (amended version of 2014 assessment). The IUCN Red List of Threatened Species 2020: e.T2593A176084098. Accessed on 21 June 2026.",Barkudia insularis,Madras Spotted Skink,CR,Unknown,,40,40-50,species,,[],REPTILIA,REPTILES,CR,"Other (Reptiles, Amphib., Crust.)",2593,self,True,False,CR
