taxonid,drop_stage,drop_reason,scientific_name,main_common_name,category_iucn,taxon_group
18903491,spatial_join,no spatial geometry in clean file,Dipturus intermedius,Flapper Skate,CR,Fishes (not comprehensive)
169234885,spatial_join,no spatial geometry in clean file,Platyrhina tangi,Yellow-spotted Fanray,VU,Fishes (not comprehensive)
16466393,spatial_join,no spatial geometry in clean file,Merluccius bilinearis,Silver Hake,NT,Fishes (not comprehensive)
135644,spatial_join,no spatial geometry in clean file,Alosa algeriensis,North African Shad,EN,Fishes (not comprehensive)
16870,spatial_join,no spatial geometry in clean file,Phallostethus dunckeri,,VU,Fishes (not comprehensive)
15622639,spatial_join,no spatial geometry in clean file,Heteromycteris capensis,Cape Sole,NT,Fishes (not comprehensive)
4592,spatial_join,no spatial geometry in clean file,Cheilinus undulatus,Humphead Wrasse,EN,Fishes (not comprehensive)
252731894,spatial_join,no spatial geometry in clean file,Luciogobius griseus,Dark Spear Earthworm Goby,VU,Fishes (not comprehensive)
135681,spatial_join,no spatial geometry in clean file,Chelon saliens,Leaping Mullet,NT,Fishes (not comprehensive)
135689,spatial_join,no spatial geometry in clean file,Chelon labrosus,Thicklip Grey Mullet,NT,Fishes (not comprehensive)
42566169,spatial_join,no spatial geometry in clean file,Aetobatus ocellatus,Spotted Eagle Ray,EN,Fishes (not comprehensive)
193050,spatial_join,no spatial geometry in clean file,Gobiodon brochus,Rasp Coralgoby,NT,Fishes (not comprehensive)
152781341,spatial_join,no spatial geometry in clean file,Hexanchus nakamurai,Bigeyed Sixgill Shark,NT,Fishes (not comprehensive)
135714,spatial_join,no spatial geometry in clean file,Chelon ramada,Thinlip Grey Mullet,NT,Fishes (not comprehensive)
114823717,spatial_join,no spatial geometry in clean file,Eviota ocellifer,ウラウチイソハゼ,CR,Fishes (not comprehensive)
98894402,spatial_join,no spatial geometry in clean file,Coilia mystus,Osbeck's Grenadier Anchovy,EN,Fishes (not comprehensive)
193095,spatial_join,no spatial geometry in clean file,Sicyopterus eudentatus,,EN,Fishes (not comprehensive)
162292301,spatial_join,no spatial geometry in clean file,Centrophorus longipinnis,Longfin Gulper Shark,EN,Fishes (not comprehensive)
201314,spatial_join,no spatial geometry in clean file,Stiphodon oatea,,NT,Fishes (not comprehensive)
8813,spatial_join,no spatial geometry in clean file,Galaxias postvectis,Shortjawed Kokopu,EN,Fishes (not comprehensive)
8817,spatial_join,no spatial geometry in clean file,Galaxias argenteus,Giant Kokopu,VU,Fishes (not comprehensive)
47149690,spatial_join,no spatial geometry in clean file,Hypoplectrus castroaguirrei,Veracruz White Hamlet,EN,Fishes (not comprehensive)
193147,spatial_join,no spatial geometry in clean file,Gobiodon acicularis,Needlespine Coral Goby,NT,Fishes (not comprehensive)
117043864,spatial_join,no spatial geometry in clean file,Coryogalops ocheticus,,EN,Fishes (not comprehensive)
197276,spatial_join,no spatial geometry in clean file,Anguilla dieffenbachii,New Zealand Longfin Eel,EN,Fishes (not comprehensive)
193208,spatial_join,no spatial geometry in clean file,Pascua sticta,Glover's Tasmangoby,CR,Fishes (not comprehensive)
21131962,spatial_join,no spatial geometry in clean file,Girella zonata,Verdean Nibbler,VU,Fishes (not comprehensive)
193222,spatial_join,no spatial geometry in clean file,Gobiodon axillaris,Red-striped Coral Goby,VU,Fishes (not comprehensive)
197321,spatial_join,no spatial geometry in clean file,Gobiomorphus hubbsi,Bluegill Bully,VU,Fishes (not comprehensive)
197322,spatial_join,no spatial geometry in clean file,Gobiomorphus huttoni,Redfin Bully,NT,Fishes (not comprehensive)
169755340,spatial_join,no spatial geometry in clean file,Lamiopsis tephrodes,Borneo Broadfin Shark,EN,Fishes (not comprehensive)
197330,spatial_join,no spatial geometry in clean file,Cheimarrichthys fosteri,Torrentfish,VU,Fishes (not comprehensive)
253117160,spatial_join,no spatial geometry in clean file,Rhynchobatus laevis,Smoothnose Wedgefish,CR,Fishes (not comprehensive)
193257,spatial_join,no spatial geometry in clean file,Bryaninops natans,Hovering Goby,NT,Fishes (not comprehensive)
47137515,spatial_join,no spatial geometry in clean file,Calamus taurinus,Galápagos porgy,NT,Fishes (not comprehensive)
123433722,spatial_join,no spatial geometry in clean file,Drombus dentifer,Yellow Drombus,EN,Fishes (not comprehensive)
41730,spatial_join,no spatial geometry in clean file,Atelomycterus marmoratus,Coral Catshark,NT,Fishes (not comprehensive)
15602438,spatial_join,no spatial geometry in clean file,Cynoglossus canariensis,Canary Tonguesole,NT,Fishes (not comprehensive)
41737,spatial_join,no spatial geometry in clean file,Carcharhinus macloti,Hardnose Shark,NT,Fishes (not comprehensive)
41738,spatial_join,no spatial geometry in clean file,Carcharhinus sealei,Blackspot Shark,VU,Fishes (not comprehensive)
41740,spatial_join,no spatial geometry in clean file,Centrophorus harrissoni,Harrisson's Dogfish,EN,Fishes (not comprehensive)
41741,spatial_join,no spatial geometry in clean file,Carcharhinus brachyurus,Copper Shark,VU,Fishes (not comprehensive)
41745,spatial_join,no spatial geometry in clean file,Centrophorus uyato,Little Gulper Shark,EN,Fishes (not comprehensive)
157877009,spatial_join,no spatial geometry in clean file,Pseudobatos buthi,Spadenose Guitarfish,VU,Fishes (not comprehensive)
41747,spatial_join,no spatial geometry in clean file,Centroscymnus coelolepis,Portuguese Dogfish,NT,Fishes (not comprehensive)
41749,spatial_join,no spatial geometry in clean file,Centroscymnus owstonii,Roughskin Dogfish,VU,Fishes (not comprehensive)
17177,spatial_join,no spatial geometry in clean file,Phyllopteryx taeniolatus,Weedy Seadragon,VU,Fishes (not comprehensive)
117044000,spatial_join,no spatial geometry in clean file,Eviota indica,Indian Dwarfgoby,NT,Fishes (not comprehensive)
15602466,spatial_join,no spatial geometry in clean file,Cynoglossus monodi,Guinean tonguesole,NT,Fishes (not comprehensive)
69919546,spatial_join,no spatial geometry in clean file,Sebastapistes coniorta,Speckled Scorpionfish,NT,Fishes (not comprehensive)
185147,spatial_join,no spatial geometry in clean file,Scartella poiti,,VU,Fishes (not comprehensive)
41791,spatial_join,no spatial geometry in clean file,Chiloscyllium indicum,Slender Bambooshark,VU,Fishes (not comprehensive)
41792,spatial_join,no spatial geometry in clean file,Chiloscyllium griseum,Grey Bamboo Shark,VU,Fishes (not comprehensive)
185152,spatial_join,no spatial geometry in clean file,Lupinoblennius paivai,Paiva's Blenny,EN,Fishes (not comprehensive)
41797,spatial_join,no spatial geometry in clean file,Hemitrygon fluviorum,Estuary Stingray,VU,Fishes (not comprehensive)
41798,spatial_join,no spatial geometry in clean file,Deania calceus,Birdbeak Dogfish,NT,Fishes (not comprehensive)
