taxonid,drop_stage,drop_reason,scientific_name,main_common_name,category_iucn,taxon_group
151806662,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Enteromius sp. nov. '1 - Upper Konkoure River basin',,EN,"Fish (sharks, freshwater)"
173831880,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Harttia villasboas,,CR,"Fish (sharks, freshwater)"
177754310,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Distichodus microps,,EN,"Fish (sharks, freshwater)"
217304776,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Rhodeus cyanorostris,,CR,"Fish (sharks, freshwater)"
49830600,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Orestias robusta,Carachi,EN,"Fish (sharks, freshwater)"
61133,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Metriaclima benetos,,NT,"Fish (sharks, freshwater)"
162471417,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Enteromius amboseli,,EN,"Fish (sharks, freshwater)"
61135,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Metriaclima chrysomallos,,NT,"Fish (sharks, freshwater)"
141169360,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Cambeva perkos,,NT,"Fish (sharks, freshwater)"
61137,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Metriaclima cyneusmarginatum,,NT,"Fish (sharks, freshwater)"
173830864,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Cyphocharax albula,,EN,"Fish (sharks, freshwater)"
217304787,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Rhodeus flaviventris,,VU,"Fish (sharks, freshwater)"
186579,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Gymnolebias jaegari,Peixe-anual,EN,"Fish (sharks, freshwater)"
150125270,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Cribroheros bussingi,Mojarra,EN,"Fish (sharks, freshwater)"
177754327,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Distichodus mbiniensis,,VU,"Fish (sharks, freshwater)"
107626712,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Galaxias sp. nov. 'Riviersonderend',,VU,"Fish (sharks, freshwater)"
151806172,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Amphilius sp. nov. 'Moa River drainage',,EN,"Fish (sharks, freshwater)"
151806685,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Enteromius sp. nov. '2 - Upper Senegal and Gambie River basins',,VU,"Fish (sharks, freshwater)"
61150,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Metriaclima purum,,VU,"Fish (sharks, freshwater)"
61154,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Metriaclima xanstomachus,,NT,"Fish (sharks, freshwater)"
138527974,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Glyptothorax stibaros,,NT,"Fish (sharks, freshwater)"
176145638,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Gephyromochlus leopardus,,NT,"Fish (sharks, freshwater)"
61161,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Chindongo ater,,NT,"Fish (sharks, freshwater)"
61162,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Chindongo cyaneus,,NT,"Fish (sharks, freshwater)"
212785387,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Cophecheilus brevibarbatus,,EN,"Fish (sharks, freshwater)"
187117,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Ophthalmolebias suzarti,Peixe-anual,VU,"Fish (sharks, freshwater)"
176216819,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Paralithoxus pallidimaculatus,,NT,"Fish (sharks, freshwater)"
158619903,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Nothobranchius prognathus,,NT,"Fish (sharks, freshwater)"
173835522,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Spectrolebias gracilis,,VU,"Fish (sharks, freshwater)"
190550787,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Hemigrammus changae,,VU,"Fish (sharks, freshwater)"
182021,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Enteromius tiekoroi,,NT,"Fish (sharks, freshwater)"
151806215,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Amphilius sp. nov. 'Loffa River drainage',,EN,"Fish (sharks, freshwater)"
176158475,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Phenacogaster simulata,Tetra,EN,"Fish (sharks, freshwater)"
133906189,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Profundulus balsanus,,VU,"Fish (sharks, freshwater)"
199574799,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Characidium onca,,CR,"Fish (sharks, freshwater)"
186641,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Psalidodon ojiara,Mojarra,NT,"Fish (sharks, freshwater)"
219673874,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Nothobranchius balamaensis,,EN,"Fish (sharks, freshwater)"
173831961,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Hypopygus varii,,VU,"Fish (sharks, freshwater)"
151806238,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Amphilius sp. nov. 'St. Paul River drainage',,EN,"Fish (sharks, freshwater)"
91106592,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Homalopteroides wassinkii,,VU,"Fish (sharks, freshwater)"
15118625,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Spinibarbus polylepis,,EN,"Fish (sharks, freshwater)"
190552352,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Melanorivulus ivinhemensis,,EN,"Fish (sharks, freshwater)"
61224,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Labeobarbus claudinae,,VU,"Fish (sharks, freshwater)"
182569,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Enteromius traorei,,VU,"Fish (sharks, freshwater)"
61226,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Enteromius laticeps,,VU,"Fish (sharks, freshwater)"
181733673,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Trichomycterus donascimientoi,,VU,"Fish (sharks, freshwater)"
162160938,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Silhouettea flavoventris,,CR,"Fish (sharks, freshwater)"
151806253,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Amphilius sp. nov. 'St. John River drainage',,EN,"Fish (sharks, freshwater)"
187179,shared_wiki_url,Multiple IUCN taxa resolved to the same Wikipedia article,Acantholebias luteoflammulatus,Peixe-anual,NT,"Fish (sharks, freshwater)"
