taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,iucn_has_ranges,iucn_has_points,category_iucn,lon,lat,centroid_source,centroid_rank,centroid_count,range_component_count,range_cluster_count,range_cluster_component_count,range_cluster_buffer_km,range_cluster_area_share,spatial_presence,spatial_presence_label,spatial_seasonal,spatial_seasonal_label,spatial_lookup_taxonid,spatial_lookup_source,computed_range_area_km2,computed_range_component_area_km2,range_component_area_km2,observation_point_count,source_paths,spatial_citation,spatial_year,iucn_dataset_citation,iucn_data_last_updated,spatial_credit
212663662,222376177,2024-04-26T01:00:00.000+01:00,2025,https://www.iucnredlist.org/species/212663662/222376177,"Prié, V. 2025. Bythiospeum josianae. The IUCN Red List of Threatened Species 2025: e.T212663662A222376177. Accessed on 26 June 2026.",Bythiospeum josianae,,NT,Unknown,,316,,species,,[],GASTROPODA,FW_MOLLUSCS,NT,"Crustaceans, Molluscs (not comprehensive)",True,False,NT,5.299487103460819,44.59611836630772,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,212663662,self,217.012513483779,217.012513483779,217.012513483779,,FW_MOLLUSCS.shp,European Red List; IUCN & EC,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,European Red List; IUCN & EC 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
212664382,222376189,2024-04-23T01:00:00.000+01:00,2025,https://www.iucnredlist.org/species/212664382/222376189,"Prié, V. 2025. Bythiospeum nemausense. The IUCN Red List of Threatened Species 2025: e.T212664382A222376189. Accessed on 26 June 2026.",Bythiospeum nemausense,,EN,Unknown,,200,,species,,[],GASTROPODA,FW_MOLLUSCS,EN,"Crustaceans, Molluscs (not comprehensive)",True,False,EN,4.353877758971936,43.82464002307639,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,212664382,self,136.43725574299822,136.43725574299822,136.43725574299822,,FW_MOLLUSCS.shp,European Red List; IUCN & EC,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,European Red List; IUCN & EC 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
212665381,218703778,2023-03-20T00:00:00.000+00:00,2025,https://www.iucnredlist.org/species/212665381/218703778,"Radea, C. 2025. Iglica hellenica. The IUCN Red List of Threatened Species 2025: e.T212665381A218703778. Accessed on 26 June 2026.",Iglica hellenica,,VU,Unknown,,4,4,species,,[],GASTROPODA,FW_MOLLUSCS,VU,"Crustaceans, Molluscs (not comprehensive)",True,False,VU,21.9732486480695,39.89443488160991,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,212665381,self,500.7155974140377,500.7155974140377,500.7155974140377,,FW_MOLLUSCS.shp,European Red List; IUCN & EC,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,European Red List; IUCN & EC 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
212665395,222462319,2023-04-09T01:00:00.000+01:00,2025,https://www.iucnredlist.org/species/212665395/222462319,"Radea, C. 2025. Iglica kirea. The IUCN Red List of Threatened Species 2025: e.T212665395A222462319. Accessed on 26 June 2026.",Iglica kirea,,VU,Unknown,,4,,species,,[],GASTROPODA,FW_MOLLUSCS,VU,"Crustaceans, Molluscs (not comprehensive)",True,False,VU,23.66515979037475,38.71946519299922,range_polygon,1,1,2,1,2,200,1.0,1,Extant,1,Resident,212665395,self,860.5176499606613,860.5176499606613,860.5176499606613,,FW_MOLLUSCS.shp,European Red List; IUCN & EC,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,European Red List; IUCN & EC 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
212666267,222376201,2023-12-29T00:00:00.000+00:00,2025,https://www.iucnredlist.org/species/212666267/222376201,"Seddon, M.B. 2025. Moitessieria audiberti. The IUCN Red List of Threatened Species 2025: e.T212666267A222376201. Accessed on 26 June 2026.",Moitessieria audiberti,,NT,Unknown,,12,,species,,[],GASTROPODA,FW_MOLLUSCS,NT,"Crustaceans, Molluscs (not comprehensive)",True,False,NT,1.1166553608816832,42.91643201943976,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,212666267,self,1584.0406544978482,1584.0406544978482,1584.0406544978482,,FW_MOLLUSCS.shp,European Red List; IUCN & EC,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,European Red List; IUCN & EC 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
212666271,222442736,2023-10-17T01:00:00.000+01:00,2025,https://www.iucnredlist.org/species/212666271/222442736,"Seddon, M.B. 2025. Moitessieria aurea. The IUCN Red List of Threatened Species 2025: e.T212666271A222442736. Accessed on 26 June 2026.",Moitessieria aurea,,NT,Unknown,,4,,species,,[],GASTROPODA,FW_MOLLUSCS,NT,"Crustaceans, Molluscs (not comprehensive)",True,False,NT,1.0133736158731605,41.80037399055034,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,212666271,self,861.2669974560098,861.2669974560098,861.2669974560098,,FW_MOLLUSCS.shp,European Red List; IUCN & EC,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,European Red List; IUCN & EC 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
212666285,222376205,2024-04-29T01:00:00.000+01:00,2025,https://www.iucnredlist.org/species/212666285/222376205,"Prié, V. 2025. Moitessieria bodoni. The IUCN Red List of Threatened Species 2025: e.T212666285A222376205. Accessed on 26 June 2026.",Moitessieria bodoni,Moitessierie des Gillardes,EN,Unknown,,248,248,species,,[],GASTROPODA,FW_MOLLUSCS,EN,"Crustaceans, Molluscs (not comprehensive)",True,False,EN,5.941107040110199,44.71437131128419,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,212666285,self,69.99963525431606,69.99963525431606,69.99963525431606,,FW_MOLLUSCS.shp,European Red List; IUCN & EC,2025,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,European Red List; IUCN & EC 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
212666289,222376209,2024-04-29T01:00:00.000+01:00,2025,https://www.iucnredlist.org/species/212666289/222376209,"Prié, V. 2025. Moitessieria boetersi. The IUCN Red List of Threatened Species 2025: e.T212666289A222376209. Accessed on 26 June 2026.",Moitessieria boetersi,,EN,Unknown,,128,128,species,,[],GASTROPODA,FW_MOLLUSCS,EN,"Crustaceans, Molluscs (not comprehensive)",True,False,EN,1.7385192352219259,44.10258095832082,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,212666289,self,86.99976054002926,86.99976054002926,86.99976054002926,,FW_MOLLUSCS.shp,European Red List; IUCN & EC,2025,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,European Red List; IUCN & EC 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
212666293,222442740,2023-10-17T01:00:00.000+01:00,2025,https://www.iucnredlist.org/species/212666293/222442740,"Seddon, M.B. 2025. Moitessieria canfalonensis. The IUCN Red List of Threatened Species 2025: e.T212666293A222442740. Accessed on 26 June 2026.",Moitessieria canfalonensis,,VU,Unknown,,4,,species,,[],GASTROPODA,FW_MOLLUSCS,VU,"Crustaceans, Molluscs (not comprehensive)",True,False,VU,1.998309273653046,41.74967705490954,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,212666293,self,313.0030217232108,313.0030217232108,313.0030217232108,,FW_MOLLUSCS.shp,European Red List; IUCN & EC,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,European Red List; IUCN & EC 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
212666297,222442744,2023-10-18T01:00:00.000+01:00,2025,https://www.iucnredlist.org/species/212666297/222442744,"Seddon, M.B. 2025. Moitessieria dexteri. The IUCN Red List of Threatened Species 2025: e.T212666297A222442744. Accessed on 26 June 2026.",Moitessieria dexteri,,NT,Unknown,,4,,species,,[],GASTROPODA,FW_MOLLUSCS,NT,"Crustaceans, Molluscs (not comprehensive)",True,False,NT,1.6318588989975553,41.53848322396438,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,212666297,self,933.0608319814907,933.0608319814907,933.0608319814907,,FW_MOLLUSCS.shp,European Red List; IUCN & EC,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,European Red List; IUCN & EC 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
212666308,222442748,2024-01-11T00:00:00.000+00:00,2025,https://www.iucnredlist.org/species/212666308/222442748,"Seddon, M.B. 2025. Moitessieria garrotxaensis. The IUCN Red List of Threatened Species 2025: e.T212666308A222442748. Accessed on 26 June 2026.",Moitessieria garrotxaensis,,NT,Unknown,,4,,species,,[],GASTROPODA,FW_MOLLUSCS,NT,"Crustaceans, Molluscs (not comprehensive)",True,False,NT,2.5247712992340876,41.98314465468328,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,212666308,self,872.2861157746363,872.2861157746363,872.2861157746363,,FW_MOLLUSCS.shp,European Red List; IUCN & EC,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,European Red List; IUCN & EC 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
212666320,222442752,2024-01-11T00:00:00.000+00:00,2025,https://www.iucnredlist.org/species/212666320/222442752,"Prié, V. 2025. Moitessieria guilhemensis. The IUCN Red List of Threatened Species 2025: e.T212666320A222442752. Accessed on 26 June 2026.",Moitessieria guilhemensis,,NT,Unknown,,4,,species,,[],GASTROPODA,FW_MOLLUSCS,NT,"Crustaceans, Molluscs (not comprehensive)",True,False,NT,3.4959988496253387,43.750836722927595,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,212666320,self,2624.934670088062,2624.934670088062,2624.934670088062,,FW_MOLLUSCS.shp,European Red List; IUCN & EC,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,European Red List; IUCN & EC 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
212666326,222442756,2024-07-25T01:00:00.000+01:00,2025,https://www.iucnredlist.org/species/212666326/222442756,"Seddon, M.B. 2025. Moitessieria hedraensis. The IUCN Red List of Threatened Species 2025: e.T212666326A222442756. Accessed on 26 June 2026.",Moitessieria hedraensis,,NT,Unknown,,4,,species,,[],GASTROPODA,FW_MOLLUSCS,NT,"Crustaceans, Molluscs (not comprehensive)",True,False,NT,1.0392949015793393,42.12039556322866,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,212666326,self,234.57261491756526,234.57261491756526,234.57261491756526,,FW_MOLLUSCS.shp,European Red List; IUCN & EC,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,European Red List; IUCN & EC 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
212666332,222376213,2024-04-23T01:00:00.000+01:00,2025,https://www.iucnredlist.org/species/212666332/222376213,"Prié, V. 2025. Moitessieria magnanae. The IUCN Red List of Threatened Species 2025: e.T212666332A222376213. Accessed on 26 June 2026.",Moitessieria magnanae,,VU,Unknown,,,,species,,[],GASTROPODA,FW_MOLLUSCS,VU,"Crustaceans, Molluscs (not comprehensive)",True,False,VU,3.777228939239543,43.82153444242062,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,212666332,self,110.10832892893178,110.10832892893178,110.10832892893178,,FW_MOLLUSCS.shp,European Red List; IUCN & EC,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,European Red List; IUCN & EC 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
212666346,222376217,2024-04-26T01:00:00.000+01:00,2025,https://www.iucnredlist.org/species/212666346/222376217,"Prié, V. 2025. Moitessieria ouvezensis. The IUCN Red List of Threatened Species 2025: e.T212666346A222376217. Accessed on 26 June 2026.",Moitessieria ouvezensis,Moitessierie de Sablet,NT,Unknown,,176,,species,,[],GASTROPODA,FW_MOLLUSCS,NT,"Crustaceans, Molluscs (not comprehensive)",True,False,NT,4.983287102394466,44.17742572830388,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,212666346,self,122.52158066633702,122.52158066633702,122.52158066633702,,FW_MOLLUSCS.shp,European Red List; IUCN & EC,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,European Red List; IUCN & EC 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
212666350,222393182,2022-11-15T00:00:00.000+00:00,2025,https://www.iucnredlist.org/species/212666350/222393182,"Martínez-Ortí, A. 2025. Moitessieria pasterae. The IUCN Red List of Threatened Species 2025: e.T212666350A222393182. Accessed on 26 June 2026.",Moitessieria pasterae,,VU,Unknown,,4,27,species,,[],GASTROPODA,FW_MOLLUSCS,VU,"Crustaceans, Molluscs (not comprehensive)",True,False,VU,0.8109583675827777,41.281831270182835,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,212666350,self,205.5864625552642,205.5864625552642,205.5864625552642,,FW_MOLLUSCS.shp,European Red List; IUCN & EC,2024,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,European Red List; IUCN & EC 2024. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
212666457,222393186,2023-02-28T00:00:00.000+00:00,2025,https://www.iucnredlist.org/species/212666457/222393186,"Martínez-Ortí, A. 2025. Moitessieria pesanta. The IUCN Red List of Threatened Species 2025: e.T212666457A222393186. Accessed on 26 June 2026.",Moitessieria pesanta,,NT,Unknown,,4,52,species,,[],GASTROPODA,FW_MOLLUSCS,NT,"Crustaceans, Molluscs (not comprehensive)",True,False,NT,2.4597207963870975,42.183503733746925,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,212666457,self,315.22822079501634,315.22822079501634,315.22822079501634,,FW_MOLLUSCS.shp,European Red List; IUCN & EC,2023,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,European Red List; IUCN & EC 2023. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
212666479,222393190,2023-04-17T01:00:00.000+01:00,2025,https://www.iucnredlist.org/species/212666479/222393190,"Martínez-Ortí, A. 2025. Moitessieria prioratensis. The IUCN Red List of Threatened Species 2025: e.T212666479A222393190. Accessed on 26 June 2026.",Moitessieria prioratensis,,NT,Unknown,,4,33,species,,[],GASTROPODA,FW_MOLLUSCS,NT,"Crustaceans, Molluscs (not comprehensive)",True,False,NT,0.7668782631252091,41.375470293220886,range_polygon,1,1,1,1,1,200,1.0,1,Extant,1,Resident,212666479,self,658.3093132654673,658.3093132654673,658.3093132654673,,FW_MOLLUSCS.shp,European Red List; IUCN & EC,2023,IUCN 2025. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.,10 October 2025,European Red List; IUCN & EC 2023. The IUCN Red List of Threatened Species. Version 2025-2. https://www.iucnredlist.org. Downloaded on 14 June 2026.
