taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
3815,214430673,2020-06-30T01:00:00.000+01:00,2022,https://www.iucnredlist.org/species/3815/214430673,"Shepherd, C.R. 2022. Capricornis rubidus (amended version of 2021 assessment). The IUCN Red List of Threatened Species 2022: e.T3815A214430673. Accessed on 22 June 2026.",Capricornis rubidus,Burmese Red Serow,VU,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,VU,Mammals,3815,self,True,False,VU
3833,45176688,2018-06-30T01:00:00.000+01:00,2019,https://www.iucnredlist.org/species/3833/45176688,"Aryal, A. & Yadav, B. 2019. Caprolagus hispidus. The IUCN Red List of Threatened Species 2019: e.T3833A45176688. Accessed on 22 June 2026.",Caprolagus hispidus,Hispid Hare,EN,Decreasing,,400-500,188316,species,,[],MAMMALIA,MAMMALS,EN,Mammals,3833,self,True,False,EN
4015,72587993,2011-08-28T01:00:00.000+01:00,2015,https://www.iucnredlist.org/species/4015/72587993,"Altrichter, M., Taber, A., Noss, A., Maffei, L. & Campos, J. 2015. Catagonus wagneri. The IUCN Red List of Threatened Species 2015: e.T4015A72587993. Accessed on 22 June 2026.",Catagonus wagneri,Chacoan Peccary,EN,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,EN,Mammals,4015,self,True,False,EN
4037,112910221,2014-05-20T01:00:00.000+01:00,2016,https://www.iucnredlist.org/species/4037/112910221,"Hearn, A., Brodie, J., Cheyne, S., Loken, B., Ross, J. & Wilting, A. 2016. Catopuma badia (errata version published in 2017). The IUCN Red List of Threatened Species 2016: e.T4037A112910221. Accessed on 22 June 2026.",Catopuma badia,Borneo Bay Cat,EN,Decreasing,2200,,,species,,[],MAMMALIA,MAMMALS,EN,Mammals,4037,self,True,False,EN
4038,245236583,2023-08-17T01:00:00.000+01:00,2025,https://www.iucnredlist.org/species/4038/245236583,"Petersen, W.J., Coudrat, C.N.Z., Dhendup, T., Ghimirey, Y., Gray, T.N.E., Shariff, M., Montomery, C., Mukherjee, S., Rahman, H. & Kun, S. 2025. Catopuma temminckii. The IUCN Red List of Threatened Species 2025: e.T4038A245236583. Accessed on 22 June 2026.",Catopuma temminckii,Asian Golden Cat,VU,Decreasing,"1000-12000, 7000",518924,5697094,species,,[],MAMMALIA,MAMMALS,VU,Mammals,4038,self,True,False,VU
4074,192592138,2020-03-02T00:00:00.000+00:00,2021,https://www.iucnredlist.org/species/4074/192592138,"Canale, G.R., Alonso, A.C., Martins, W.P., Jerusalinsky, L., de Melo, F.R., Kierulff, M.C.M., Mittermeier, R.A. & Lynch Alfaro, J.W. 2021. Sapajus xanthosternos (amended version of 2020 assessment). The IUCN Red List of Threatened Species 2021: e.T4074A192592138. Accessed on 22 June 2026.",Sapajus xanthosternos,Buff-headed Capuchin,CR,Decreasing,2499,,470000,species,,[],MAMMALIA,MAMMALS,CR,Mammals,4074,self,True,False,CR
4075,191701729,2015-01-26T00:00:00.000+00:00,2021,https://www.iucnredlist.org/species/4075/191701729,"Lynch Alfaro, J.W., Shanee, S., Mollinedo, J., Heymann, E.W. & Muniz, C.C. 2021. Cebus cuscinus (amended version of 2020 assessment). The IUCN Red List of Threatened Species 2021: e.T4075A191701729. Accessed on 22 June 2026.",Cebus cuscinus,Shock-headed Capuchin,NT,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,NT,Mammals,4075,self,True,False,NT
4076,191701887,2015-01-26T00:00:00.000+00:00,2021,https://www.iucnredlist.org/species/4076/191701887,"de la Torre, S., Lynch Alfaro, J.W., Heymann, E.W., Shanee, S. & Moscoso, P. 2021. Cebus yuracus (amended version of 2020 assessment). The IUCN Red List of Threatened Species 2021: e.T4076A191701887. Accessed on 22 June 2026.",Cebus yuracus,Andean White-fronted Capuchin,NT,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,NT,Mammals,4076,self,True,False,NT
4081,191702052,2015-01-26T00:00:00.000+00:00,2021,https://www.iucnredlist.org/species/4081/191702052,"Moscoso, P., de la Torre, S., Cornejo, F.M., Mittermeier, R.A., Lynch, J.W. & Heymann, E.W. 2021. Cebus aequatorialis (amended version of 2020 assessment). The IUCN Red List of Threatened Species 2021: e.T4081A191702052. Accessed on 22 June 2026.",Cebus aequatorialis,Ecuadorian White-fronted Capuchin,CR,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,CR,Mammals,4081,self,True,False,CR
4082,195995295,2020-01-26T00:00:00.000+00:00,2021,https://www.iucnredlist.org/species/4082/195995295,"Link, A., Boubli, J.P. & Lynch, J.W. 2021. Cebus cesarae (amended version of 2020 assessment). The IUCN Red List of Threatened Species 2021: e.T4082A195995295. Accessed on 22 June 2026.",Cebus cesarae,Río Cesar White-fronted Capuchin,EN,Decreasing,,,,species,,[],MAMMALIA,MAMMALS,EN,Mammals,4082,self,True,False,EN
