taxonid,assessment_id,assessment_date,year_published,iucn_assessment_url,iucn_citation,scientific_name,main_common_name,category,population_trend,number_of_mature_individuals,estimated_area_of_occupancy,estimated_extent_of_occurrence,taxon_rank,parent_taxonid,child_infrarank_taxonids,taxon_class,spatial_package,spatial_category,taxon_group,spatial_lookup_taxonid,spatial_lookup_source,iucn_has_ranges,iucn_has_points,category_iucn
2562,100139530,2016-12-02T00:00:00.000+00:00,2017,https://www.iucnredlist.org/species/2562/100139530,"Van der Walt, R., Jordaan, M. & Impson, D. 2017. Pseudobarbus calidus. The IUCN Red List of Threatened Species 2017: e.T2562A100139530. Accessed on 19 June 2026.",Pseudobarbus calidus,Clanwilliam Redfin,NT,Decreasing,,204,2351,species,,[],ACTINOPTERYGII,FW_FISH,NT,"Fish (sharks, freshwater)",2562,self,True,False,NT
2564,100140580,2016-12-05T00:00:00.000+00:00,2017,https://www.iucnredlist.org/species/2564/100140580,"Jordaan, M., Swartz, E.R., Van der Walt, R. & Impson, D. 2017. Pseudobarbus erubescens. The IUCN Red List of Threatened Species 2017: e.T2564A100140580. Accessed on 19 June 2026.",Pseudobarbus erubescens,Twee River Redfin,CR,Decreasing,4100 - 6838,44,84,species,,[],ACTINOPTERYGII,FW_FISH,CR,"Fish (sharks, freshwater)",2564,self,True,False,CR
2567,137226182,2023-10-06T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/2567/137226182,"Ford, M. 2024. Barbus meridionalis. The IUCN Red List of Threatened Species 2024: e.T2567A137226182. Accessed on 19 June 2026.",Barbus meridionalis,Mediterranean Barbel,NT,Decreasing,,,157783,species,,[],ACTINOPTERYGII,FW_FISH,NT,"Fish (sharks, freshwater)",2567,self,True,False,NT
2568,135065063,2023-10-20T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/2568/135065063,"Ford, M. 2024. Barbus plebejus. The IUCN Red List of Threatened Species 2024: e.T2568A135065063. Accessed on 19 June 2026.",Barbus plebejus,Italian Barbel,NT,Decreasing,,,252223,species,,[],ACTINOPTERYGII,FW_FISH,NT,"Fish (sharks, freshwater)",2568,self,True,False,NT
2569,100148283,2016-11-30T00:00:00.000+00:00,2017,https://www.iucnredlist.org/species/2569/100148283,"Impson, D., Van der Walt, R. & Jordaan, M. 2017. Pseudobarbus serra. The IUCN Red List of Threatened Species 2017: e.T2569A100148283. Accessed on 19 June 2026.",Pseudobarbus serra,Clanwilliam Sawfin,NT,Decreasing,,128,5188,species,,[],ACTINOPTERYGII,FW_FISH,NT,"Fish (sharks, freshwater)",2569,self,True,False,NT
2572,100159826,2016-12-06T00:00:00.000+00:00,2017,https://www.iucnredlist.org/species/2572/100159826,"Roux, F. & Hoffman, A.  2017. Enteromius treurensis. The IUCN Red List of Threatened Species 2017: e.T2572A100159826. Accessed on 19 June 2026.",Enteromius treurensis,Treur River Barb,CR,Stable,,16,46,species,,[],ACTINOPTERYGII,FW_FISH,CR,"Fish (sharks, freshwater)",2572,self,True,False,CR
2573,100159948,2018-02-20T00:00:00.000+00:00,2018,https://www.iucnredlist.org/species/2573/100159948,"Chakona, A. 2018. Pseudobarbus trevelyani. The IUCN Red List of Threatened Species 2018: e.T2573A100159948. Accessed on 19 June 2026.",Pseudobarbus trevelyani,Border Barb,EN,Decreasing,,64,266,species,,[],ACTINOPTERYGII,FW_FISH,EN,"Fish (sharks, freshwater)",2573,self,True,False,EN
2574,100119351,2016-12-01T00:00:00.000+00:00,2017,https://www.iucnredlist.org/species/2574/100119351,"Engelbrecht, J., Bills, R., Cambray, J., Roux, F. & Hoffman, A.  2017. Enteromius brevipinnis. The IUCN Red List of Threatened Species 2017: e.T2574A100119351. Accessed on 19 June 2026.",Enteromius brevipinnis,Shortfin Barb,NT,Decreasing,,96,17077,species,,[],ACTINOPTERYGII,FW_FISH,NT,"Fish (sharks, freshwater)",2574,self,True,False,NT
2575,137277264,2023-10-26T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/2575/137277264,"Ford, M. 2024. Luciobarbus comizo. The IUCN Red List of Threatened Species 2024: e.T2575A137277264. Accessed on 19 June 2026.",Luciobarbus comizo,Iberian Long-Snout Barbel,NT,Decreasing,,,190777,species,,[],ACTINOPTERYGII,FW_FISH,NT,"Fish (sharks, freshwater)",2575,self,True,False,NT
2576,137226303,2023-09-11T01:00:00.000+01:00,2024,https://www.iucnredlist.org/species/2576/137226303,"Ford, M. 2024. Barbus euboicus. The IUCN Red List of Threatened Species 2024: e.T2576A137226303. Accessed on 19 June 2026.",Barbus euboicus,Evia Barbel,EN,Unknown,,,3212,species,,[],ACTINOPTERYGII,FW_FISH,EN,"Fish (sharks, freshwater)",2576,self,True,False,EN
